call_idx,start_ts,end_ts,elapsed_ms,http_status
0,1762799925.796078,1762799925.796393,0.31495094299316406,ERR
1,1762799925.861035,1762799925.862027,0.9918212890625,ERR
2,1762799925.958283,1762799925.960374,2.0911693572998047,ERR
3,1762799926.0530481,1762799926.054751,1.7027854919433594,ERR
4,1762799926.151993,1762799926.152732,0.7388591766357422,ERR
5,1762799926.254364,1762799926.254807,0.4429817199707031,ERR
6,1762799926.3328269,1762799926.3333561,0.5292892456054688,ERR
7,1762799926.410978,1762799926.4118028,0.8246898651123047,ERR
8,1762799926.465961,1762799926.466403,0.4420280456542969,ERR
9,1762799926.560926,1762799926.561517,0.5910396575927734,ERR
10,1762799926.6285708,1762799926.6291509,0.5800724029541016,ERR
11,1762799926.700474,1762799926.701422,0.9479522705078125,ERR
12,1762799926.767194,1762799926.7676868,0.4928112030029297,ERR
13,1762799926.837622,1762799926.838086,0.4639625549316406,ERR
14,1762799926.907161,1762799926.907584,0.4229545593261719,ERR
15,1762799926.9965582,1762799926.997809,1.2507438659667969,ERR
16,1762799927.051261,1762799927.052036,0.7750988006591797,ERR
17,1762799927.127636,1762799927.1285892,0.9531974792480469,ERR
18,1762799927.2060401,1762799927.2066271,0.5869865417480469,ERR
19,1762799927.28026,1762799927.280988,0.7278919219970703,ERR
20,1762799927.3614058,1762799927.363275,1.86920166015625,ERR
21,1762799927.4217181,1762799927.422267,0.5488395690917969,ERR
22,1762799927.5158029,1762799927.516945,1.1420249938964844,ERR
23,1762799927.611925,1762799927.6125429,0.61798095703125,ERR
24,1762799927.707584,1762799927.708595,1.0111331939697266,ERR
25,1762799927.767628,1762799927.768685,1.0571479797363281,ERR
26,1762799927.865778,1762799927.866517,0.7390975952148438,ERR
27,1762799927.917832,1762799927.9189591,1.1272430419921875,ERR
28,1762799928.009009,1762799928.009624,0.6151199340820312,ERR
29,1762799928.090509,1762799928.0910752,0.5662441253662109,ERR
30,1762799928.162264,1762799928.163006,0.7419586181640625,ERR
31,1762799928.247203,1762799928.247874,0.6709098815917969,ERR
32,1762799928.315991,1762799928.3170292,1.0383129119873047,ERR
33,1762799928.381824,1762799928.3824131,0.5891323089599609,ERR
34,1762799928.4699872,1762799928.4704142,0.42700767517089844,ERR
35,1762799928.5456011,1762799928.546048,0.4467964172363281,ERR
36,1762799928.627573,1762799928.6281521,0.5791187286376953,ERR
37,1762799928.7293482,1762799928.7298071,0.4589557647705078,ERR
38,1762799928.800253,1762799928.800917,0.6639957427978516,ERR
39,1762799928.886486,1762799928.887121,0.6349086761474609,ERR
40,1762799928.973056,1762799928.973666,0.6098747253417969,ERR
41,1762799929.0658,1762799929.0668101,1.0101795196533203,ERR
42,1762799929.123327,1762799929.124233,0.9059906005859375,ERR
43,1762799929.20619,1762799929.2068071,0.6170272827148438,ERR
44,1762799929.284127,1762799929.284757,0.6299018859863281,ERR
45,1762799929.337464,1762799929.338469,1.004934310913086,ERR
46,1762799929.40412,1762799929.404719,0.5991458892822266,ERR
47,1762799929.4731882,1762799929.4736,0.41174888610839844,ERR
48,1762799929.54531,1762799929.545961,0.6508827209472656,ERR
49,1762799929.6142771,1762799929.614955,0.6778240203857422,ERR
50,1762799929.673205,1762799929.6738849,0.6799697875976562,ERR
51,1762799929.7400022,1762799929.740782,0.7798671722412109,ERR
52,1762799929.795428,1762799929.796149,0.720977783203125,ERR
53,1762799929.867148,1762799929.86784,0.6921291351318359,ERR
54,1762799929.9550872,1762799929.95561,0.5228519439697266,ERR
55,1762799930.046328,1762799930.046817,0.4889965057373047,ERR
56,1762799930.1158028,1762799930.11641,0.6072521209716797,ERR
57,1762799930.173861,1762799930.175679,1.817941665649414,ERR
58,1762799930.229971,1762799930.230496,0.5249977111816406,ERR
59,1762799930.28413,1762799930.2847,0.5698204040527344,ERR
60,1762799930.377609,1762799930.3782,0.5910396575927734,ERR
61,1762799930.457083,1762799930.457561,0.4780292510986328,ERR
62,1762799930.532796,1762799930.5334861,0.6902217864990234,ERR
63,1762799930.6322272,1762799930.632927,0.6997585296630859,ERR
64,1762799930.719302,1762799930.7198908,0.5888938903808594,ERR
65,1762799930.8025331,1762799930.803088,0.5548000335693359,ERR
66,1762799930.8875651,1762799930.88957,2.004861831665039,ERR
67,1762799930.9522219,1762799930.9530408,0.8189678192138672,ERR
68,1762799931.0467389,1762799931.047339,0.6000995635986328,ERR
69,1762799931.1047292,1762799931.105443,0.7138252258300781,ERR
70,1762799931.18555,1762799931.186115,0.5650520324707031,ERR
71,1762799931.2773929,1762799931.277945,0.5521774291992188,ERR
72,1762799931.36994,1762799931.3705258,0.5857944488525391,ERR
73,1762799931.450054,1762799931.451332,1.2781620025634766,ERR
74,1762799931.507904,1762799931.5088031,0.8990764617919922,ERR
75,1762799931.583383,1762799931.583788,0.4048347473144531,ERR
76,1762799931.6424289,1762799931.642903,0.4742145538330078,ERR
77,1762799931.7286541,1762799931.729146,0.49185752868652344,ERR
78,1762799931.8295019,1762799931.830056,0.5540847778320312,ERR
79,1762799931.925809,1762799931.9264882,0.6792545318603516,ERR
80,1762799932.014091,1762799932.01475,0.6589889526367188,ERR
81,1762799932.0832472,1762799932.084758,1.5108585357666016,ERR
82,1762799932.1710012,1762799932.1718478,0.8466243743896484,ERR
83,1762799932.251641,1762799932.252943,1.3020038604736328,ERR
84,1762799932.3235269,1762799932.324312,0.7851123809814453,ERR
85,1762799932.4276428,1762799932.429447,1.8041133880615234,ERR
86,1762799932.514359,1762799932.515711,1.352071762084961,ERR
