call_idx,start_ts,end_ts,elapsed_ms,http_status
0,1762799941.402904,1762799941.403275,0.37097930908203125,ERR
1,1762799941.481907,1762799941.482351,0.44417381286621094,ERR
2,1762799941.558651,1762799941.5593832,0.7321834564208984,ERR
3,1762799941.618488,1762799941.619013,0.5249977111816406,ERR
4,1762799941.6770408,1762799941.6776059,0.5650520324707031,ERR
5,1762799941.779531,1762799941.78002,0.4889965057373047,ERR
6,1762799941.868979,1762799941.869478,0.4990100860595703,ERR
7,1762799941.952909,1762799941.953745,0.8358955383300781,ERR
8,1762799942.045866,1762799942.0462751,0.40912628173828125,ERR
9,1762799942.1155672,1762799942.1162298,0.6625652313232422,ERR
10,1762799942.17136,1762799942.171969,0.6089210510253906,ERR
11,1762799942.2716491,1762799942.2722728,0.6237030029296875,ERR
12,1762799942.344355,1762799942.3450398,0.6847381591796875,ERR
13,1762799942.398779,1762799942.3994398,0.6608963012695312,ERR
14,1762799942.461343,1762799942.462141,0.7979869842529297,ERR
15,1762799942.561034,1762799942.561753,0.7190704345703125,ERR
16,1762799942.6277099,1762799942.628326,0.6160736083984375,ERR
17,1762799942.713375,1762799942.714012,0.6368160247802734,ERR
18,1762799942.7734668,1762799942.774122,0.6551742553710938,ERR
19,1762799942.8610518,1762799942.861844,0.7922649383544922,ERR
20,1762799942.9161139,1762799942.916812,0.698089599609375,ERR
21,1762799943.012009,1762799943.012597,0.5881786346435547,ERR
22,1762799943.0844889,1762799943.085129,0.6401538848876953,ERR
23,1762799943.1883059,1762799943.1892622,0.9562969207763672,ERR
24,1762799943.2762449,1762799943.2771862,0.9412765502929688,ERR
25,1762799943.3283079,1762799943.328832,0.5240440368652344,ERR
26,1762799943.395427,1762799943.396414,0.9870529174804688,ERR
27,1762799943.48464,1762799943.485558,0.9181499481201172,ERR
28,1762799943.572288,1762799943.572971,0.6830692291259766,ERR
29,1762799943.627761,1762799943.6288981,1.1372566223144531,ERR
30,1762799943.696192,1762799943.6971068,0.9148120880126953,ERR
31,1762799943.756823,1762799943.757681,0.8578300476074219,ERR
32,1762799943.823553,1762799943.824555,1.0018348693847656,ERR
33,1762799943.890254,1762799943.891239,0.9849071502685547,ERR
34,1762799943.966154,1762799943.967084,0.9298324584960938,ERR
